ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E33124,個人（組合発行者を除く）,,,,,石田　克史,,イシダ　カツシ,,個人（組合発行者を除く）,,
E33125,個人（組合発行者を除く）,,,,,山本　琴一,,ヤマモト　キンイチ,,個人（組合発行者を除く）,,
E33128,内国法人・組合（有価証券報告書等の提出義務者以外）,,,20,,株式会社リサ・キャピタル・マネジメント,,カブシキガイシャリサキャピタルマネジメント,港区港南二丁目１５番３号,内国法人・組合（有価証券報告書等の提出義務者以外）,,2010401075662
E33129,個人（組合発行者を除く）,,,,,古野　豊,,フルノ　ユタカ,,個人（組合発行者を除く）,,
E33130,個人（組合発行者を除く）,,,,,古野　重幸,,フルノ　シゲユキ,,個人（組合発行者を除く）,,
E33131,内国法人・組合（有価証券報告書等の提出義務者以外）,,,57,,丸井織物株式会社,,マルイオリモノカブシキガイシャ,鹿島郡中能登町久乃木井部１５番地,内国法人・組合（有価証券報告書等の提出義務者以外）,,4220001015673
E33136,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,株式会社ＳＡＫＥアソシエイツ,,カブシキガイシャサケアソシエイツ,中央区日本橋蛎殻町１丁目５番６号,内国法人・組合（有価証券報告書等の提出義務者以外）,,6020001084646
E33139,個人（組合発行者を除く）,,,,,辰已　崇之,,タツミ　タカユキ,,個人（組合発行者を除く）,,
E33140,内国法人・組合（有価証券報告書等の提出義務者以外）,,,90,,株式会社ＥＰＡＲＫ,,カブシキガイシャイーパーク,豊島区西池袋一丁目４番１０号,内国法人・組合（有価証券報告書等の提出義務者以外）,,
E33142,個人（組合発行者を除く）,,,,,別宮　圭一,,ベック　ケイイチ,,個人（組合発行者を除く）,,
E33145,内国法人・組合（有価証券報告書等の提出義務者以外）,,,10,,ディーアンドケー株式会社,,ディーアンドケーカブシキガイシャ,千代田区富士見二丁目１０番３号,内国法人・組合（有価証券報告書等の提出義務者以外）,,3010001108499
E33146,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,ＪａｐａｎＢｒｉｄｇｅ　（Ｉｒｅｌａｎｄ）　Ｌｉｍｉｔｅｄ,,ジャパンブリッジアイルランドリミテッド,アイルランド共和国クレア州シャノン・フリーゾーン、リアーナハウス、スイート６,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33147,個人（組合発行者を除く）,,,,,川田　篤,,カワタ　アツシ,,個人（組合発行者を除く）,,
