,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3698,3698,E05666,内国法人・組合,非上場,無,77.0,12月31日,クラウドゲート株式会社,"Crowd Gate Co.,Ltd.",クラウドゲートカブシキガイシャ,千代田区神田佐久間町１丁目９番地,サービス業,,6010001083509.0
3699,3699,E05668,内国法人・組合,上場,無,404.0,3月31日,株式会社中広,"CHUCO CO.,LTD.",カブシキガイシャチュウコウ,岐阜市東興町２７番地,サービス業,21390.0,2200001003384.0
3700,3700,E05669,内国法人・組合,上場,有,760.0,3月31日,株式会社ジーダット,Jedat Inc.,カブシキガイシャジーダット,東京都中央区湊１丁目１番１２号　ＨＳＢ鐵砲洲,情報・通信業,38410.0,7010001085545.0
3701,3701,E05670,内国法人・組合,上場,無,686.0,3月31日,株式会社光ハイツ・ヴェラス,"HIKARI HEIGHTS-VARUS CO.,LTD.",カブシキガイシャヒカリハイツヴェラス,札幌市中央区南１９条西１１丁目１番１５号,サービス業,21370.0,6430001013893.0
3702,3702,E05673,内国法人・組合,上場,有,685.0,2月末日,株式会社ＤＤホールディングス,"DD Holdings Co.,Ltd.",カブシキガイシャディーディーホールディングス,港区芝４－１－２３　三田ＮＮビル１８Ｆ,小売業,30730.0,8010401065757.0
3703,3703,E05674,内国法人・組合,上場,有,2438.0,3月31日,パス株式会社,PATH corporation,パスカブシキガイシャ,渋谷区神宮前六丁目１７番１１号,情報・通信業,38400.0,1011001070286.0
3704,3704,E05676,内国法人・組合,上場,有,500.0,3月31日,ｎｍｓホールディングス株式会社,nms Holdings Corporation,エヌエムエスホールディングスカブシキガイシャ,新宿区西新宿三丁目２０番２号,サービス業,21620.0,7011101037766.0
3705,3705,E05677,内国法人・組合,上場,無,521.0,3月31日,株式会社ネクストジェン,"Nextgen,Inc.",カブシキガイシャネクストジェン,港区白金一丁目２７号６番,情報・通信業,38420.0,6010001097517.0
3706,3706,E05678,内国法人・組合,上場,有,1018.0,3月31日,コムチュア株式会社,COMTURE CORPORATION,コムチュアカブシキガイシャ,品川区大崎１－１１－２,情報・通信業,38440.0,3010701015193.0
3707,3707,E05679,内国法人・組合,上場,無,637.0,3月31日,株式会社ＯＤＫソリューションズ,"ODK Solutions Company,Ltd",カブシキガイシャオーディーケイソリューションズ,大阪市中央区道修町一丁目６番７号,情報・通信業,38390.0,8120001092926.0
